# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.03233e-05 to 167.815 h/Mpc,
# number of wavenumbers equal to 627
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.488684280415e-02       1.324485060071e+07       1.314412249141e+07      -1.595624994882e+03      -1.623015807405e+03       7.300092911833e+06       3.980186219410e+06 
       1.501437685948e-02       1.319504205432e+07       1.309436849803e+07      -1.562795938300e+03      -1.589621801127e+03       7.237431698879e+06       3.965142340911e+06 
       1.514194990740e-02       1.314537476189e+07       1.304475414666e+07      -1.530782411828e+03      -1.557058542868e+03       7.175269708252e+06       3.950164938039e+06 
       1.526956231738e-02       1.309585149632e+07       1.299528500019e+07      -1.499572154502e+03      -1.525313267542e+03       7.113597854481e+06       3.935251587295e+06 
       1.539721447942e-02       1.304646621092e+07       1.294595671443e+07      -1.469162059563e+03      -1.494382364882e+03       7.052402326313e+06       3.920393149225e+06 
       1.552490680402e-02       1.299722006228e+07       1.289677124049e+07      -1.439553727732e+03      -1.464266962406e+03       6.991673100638e+06       3.905580306589e+06 
       1.565263972216e-02       1.294811532792e+07       1.284773070948e+07      -1.410746929608e+03      -1.434966375192e+03       6.931400688496e+06       3.890803852503e+06 
       1.578041368533e-02       1.289914951691e+07       1.279883127898e+07      -1.382733309231e+03      -1.406471797018e+03       6.871572762218e+06       3.876054943658e+06 
       1.590822916555e-02       1.285032316931e+07       1.275007174364e+07      -1.355495038793e+03      -1.378764972394e+03       6.812178922990e+06       3.861329082132e+06 
       1.603608665542e-02       1.280164398728e+07       1.270145768284e+07      -1.329003715587e+03      -1.351817099230e+03       6.753212595647e+06       3.846628151426e+06 
       1.616398666821e-02       1.275311373135e+07       1.265298906354e+07      -1.303222083229e+03      -1.325590529220e+03       6.694664849639e+06       3.831956373719e+06 
       1.629192973793e-02       1.270472702176e+07       1.260465933707e+07      -1.278106707161e+03      -1.300041440325e+03       6.636523592044e+06       3.817318952044e+06 
       1.641991641944e-02       1.265648769407e+07       1.255647142263e+07      -1.253614991602e+03      -1.275126884017e+03       6.578782722317e+06       3.802725506364e+06 
       1.654794728861e-02       1.260839442036e+07       1.250842450620e+07      -1.229708007277e+03      -1.250807586081e+03       6.521434476889e+06       3.788183842261e+06 
