# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  124       3.236971925309e+03       9.730587134572e-01       4.547245288492e-03      -3.507216590122e+01       8.929894306868e-08       3.350511325959e-04      -1.727609619175e-06 
  125       3.268810804570e+03       9.798100615791e-01       4.623869788763e-03      -3.554749446163e+01       8.876311129750e-08       3.318898872246e-04      -1.735595602890e-06 
  126       3.300693029507e+03       9.861541857253e-01       4.701264526800e-03      -3.601092532156e+01       8.823299725771e-08       3.287939619259e-04      -1.745081918737e-06 
  127       3.332608542326e+03       9.920839438104e-01       4.779434136314e-03      -3.646199206662e+01       8.770666635714e-08       3.257594261379e-04      -1.754897253102e-06 
  128       3.364546516146e+03       9.975925132414e-01       4.858383287598e-03      -3.690023151312e+01       8.718145097537e-08       3.227808023479e-04      -1.763750800639e-06 
  129       3.396496482885e+03       1.002673661549e+00       4.938117005288e-03      -3.732518252258e+01       8.665488841753e-08       3.198528974640e-04      -1.770485763739e-06 
  130       3.428451897316e+03       1.007322570926e+00       5.018641661999e-03      -3.773638174332e+01       8.612790004519e-08       3.169768204457e-04      -1.774897650811e-06 
  131       3.460406929745e+03       1.011535123180e+00       5.099964093382e-03      -3.813336789334e+01       8.560219242767e-08       3.141547949560e-04      -1.777041305067e-06 
  132       3.492355343315e+03       1.015307658666e+00       5.182091291512e-03      -3.851568341368e+01       8.507929893813e-08       3.113882851573e-04      -1.776984960732e-06 
  133       3.524290483133e+03       1.018636988003e+00       5.265030406737e-03      -3.888287471937e+01       8.456055730152e-08       3.086779483106e-04      -1.774810839471e-06 
  134       3.556205265387e+03       1.021520403794e+00       5.348788749517e-03      -3.923449245038e+01       8.404708621551e-08       3.060235864860e-04      -1.770615756373e-06 
  135       3.588092166472e+03       1.023955692344e+00       5.433373792264e-03      -3.957009172254e+01       8.353976102973e-08       3.034240973844e-04      -1.764511735485e-06 
  136       3.619943212107e+03       1.025941145375e+00       5.518793171189e-03      -3.988923237850e+01       8.303918846907e-08       3.008774242708e-04      -1.756626634897e-06 
  137       3.651749966457e+03       1.027475571746e+00       5.605054688138e-03      -4.019147923867e+01       8.254568038631e-08       2.983805050188e-04      -1.747104781374e-06 
  138       3.683503521258e+03       1.028558309172e+00       5.692166312439e-03      -4.047640235216e+01       8.205922652981e-08       2.959292202660e-04      -1.736107614545e-06 
  139       3.715194484934e+03       1.029189235941e+00       5.780136182740e-03      -4.074357724774e+01       8.157946631162e-08       2.935183406819e-04      -1.723814340640e-06 
  140       3.746812971721e+03       1.029368782629e+00       5.868972608855e-03      -4.099258518475e+01       8.110565956170e-08       2.911414733457e-04      -1.710422595780e-06 
  141       3.778348590787e+03       1.029097943826e+00       5.958684073603e-03      -4.122301340407e+01       8.063665625351e-08       2.887910072369e-04      -1.696149118817e-06 
  142       3.809790435352e+03       1.028378289843e+00       6.049279234649e-03      -4.143445537906e+01       8.017086518682e-08       2.864580578360e-04      -1.681230433722e-06 
  143       3.841127071815e+03       1.027211978440e+00       6.140766926350e-03      -4.162651106650e+01       7.970622161298e-08       2.841324108370e-04      -1.665923541531e-06 
  144       3.872347452967e+03       1.025601843064e+00       6.233155095076e-03      -4.179879248737e+01       7.924086618091e-08       2.818051630383e-04      -1.650459662081e-06 
  145       3.903443782097e+03       1.023551642646e+00       6.326447482994e-03      -4.195094055970e+01       7.877540699096e-08       2.794772097112e-04      -1.634896212043e-06 
  146       3.934408911886e+03       1.021065858824e+00       6.420646619332e-03      -4.208261040995e+01       7.831103695655e-08       2.771519021889e-04      -1.619244293879e-06 
  147       3.965235440145e+03       1.018149633677e+00       6.515754853287e-03      -4.219346647130e+01       7.784884854250e-08       2.748324476089e-04      -1.603513641839e-06 
  148       3.995915704245e+03       1.014808781883e+00       6.611774349741e-03      -4.228318276520e+01       7.738982182825e-08       2.725218959883e-04      -1.587712529589e-06 
  149       4.026441775551e+03       1.011049802873e+00       6.708707084968e-03      -4.235144318294e+01       7.693481212684e-08       2.702231270550e-04      -1.571847676188e-06 
  150       4.056805453853e+03       1.006879892996e+00       6.806554842352e-03      -4.239794176724e+01       7.648453715334e-08       2.679388368339e-04      -1.555924150405e-06 
  151       4.086998261800e+03       1.002306957672e+00       6.905319208097e-03      -4.242238299382e+01       7.603956373644e-08       2.656715239877e-04      -1.539945273385e-06 
  152       4.117011439331e+03       9.973396235509e-01       7.005001566940e-03      -4.242448205295e+01       7.560029406709e-08       2.634234759139e-04      -1.523912519658e-06 
  153       4.146835938106e+03       9.919872506687e-01       7.105603097862e-03      -4.240396513107e+01       7.516695147772e-08       2.611967545963e-04      -1.507825416490e-06 
  154       4.176462415942e+03       9.862599446081e-01       7.207124769805e-03      -4.236056969233e+01       7.473956574607e-08       2.589931822118e-04      -1.491681441587e-06 
